No.,TP,Time,Reactor,Condition,Group,Cell Line,Type,Date Isolated,Tube Label,A260/280,Tapestation Concentration,DIN
44,39,288,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 288H E16,1.877,37.9,9.9
106,39,288,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 288H E18,1.846,58.1,9.9
108,39,288,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 288H E20,1.855,39.4,9.9
45,42,312,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 312H E13,1.879,41.4,9.9
47,42,312,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 312H E15,1.867,39.6,9.9
109,42,312,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 312H E17,1.867,27.3,9.7
111,42,312,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 312H E19,1.852,44,9.9
46,42,312,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 312H E14,1.871,25.1,9.9
48,42,312,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 312H E16,1.877,33.7,9.9
110,42,312,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 312H E18,1.864,29.8,9.9
112,42,312,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 312H E20,1.866,47.1,9.9
49,46,336,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 336H E13,1.884,36.2,9.9
51,46,336,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 336H E15,1.887,31.2,9.9
114,46,336,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 336H E19,1.869,44.8,9.9
50,46,336,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 336H E14,1.854,34.8,9.9
52,46,336,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 336H E16,1.876,34.5,9.9
113,46,336,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 336H E18,1.859,51.3,9.9
115,46,336,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 336H E20,1.867,54.4,9.9
53,49,360,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 360H E13,1.873,38.1,9.9
55,49,360,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 360H E15,1.882,32.3,9.9
117,49,360,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 360H E19,1.858,48.2,9.9
54,49,360,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 360H E14,1.884,31.1,9.9
56,49,360,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 360H E16,1.889,38.3,9.9
116,49,360,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 360H E18,1.869,47.5,9.9
118,49,360,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 360H E20,1.861,45.1,9.9
57,51,384,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 384H E13,1.889,26.1,9.8
59,51,384,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 384H E15,1.885,29.4,9.9
120,53,384,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 384H E19,1.851,39.4,9.9
58,51,384,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 384H E14,1.895,16.8,9.9
60,51,384,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 384H E16,1.883,31.6,9.9
119,53,384,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 384H E18,1.867,48.2,9.9
121,53,384,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 384H E20,1.869,28.8,9.9
61,53,408,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO BR24 408H E13,1.868,34.9,9.5
63,53,408,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO BR24 408H E15,1.873,27,9.9
123,55,408,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 408H E19,1.842,29.9,9.9
62,53,408,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO BR24 408H E14,1.858,25.7,9.9
64,53,408,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-13,NIST CHO BR24 408H E16,1.838,30.6,9.9
122,55,408,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 408H E18,1.856,46.4,9.9
124,55,408,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 408H E20,1.847,47.3,9.9
126,57,432,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 432H E19,1.842,31.2,9.9
125,57,432,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 432H E18,1.851,31.8,9.9
127,57,432,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 432H E20,1.847,37.2,9.9
129,59,456,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 456H E19,1.838,30.4,9.9
128,59,456,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 456H E18,1.851,31.2,9.9
130,59,456,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-20,NIST CHO CHARRUN2 456H E20,1.862,55,9.9
